interno_ime,smucisce,drzava,nadmorska_visina,km_prog,karta,valuta
ski-mojtin,Ski Mojtín,SK,697 - 942,7,n/a,n/a
filzberg,Filzberg / Landsberied,DE,550 - 580,0.2,n/a,n/a
harenda,Harenda,PL,770 - 980,3.3,n/a,n/a
thalgau,Thalgau,AT,770 - 913,1,"16,00",€
zloty-gron,Złoty Groń,PL,550 - 700,2.7,n/a,n/a
ovifat,Ovifat,BE,522 - 610,1.6,"25,00",€
krusetnica,Krušetnica,SK,660 - 810,1.2,n/a,n/a
schilift-reuthe-baien,Reuthe - Baien,AT,650 - 750,1.1,n/a,n/a
val-de-wanne,Val de Wanne / Trois-Ponts,BE,360 - 500,1.5,"15,00",€
alsovka-medenec,Alšovka Měděnec,CZ,675 - 771,0.9,n/a,n/a
ski-klacno,Ski Kľačno,SK,450 - 650,1.4,"10,00",€
birkholzlift-heinersreuth,Birkholzlift Heinersreuth / Presseck,DE,580 - 675,0,n/a,n/a
rybno,Rybno,PL,117 - 140,1.5,n/a,n/a
deesbach-skilift,Deesbach Skilift,DE,660 - 744,0.6,n/a,n/a
raliska,Rališka,CZ,605 - 729,1.9,n/a,n/a
skilift-oybin-hain,Skilift Oybin - Hain / Johannisstein,DE,550 - 590,0.3,n/a,n/a
maelzerberg,Mälzerberg / Schirgiswalde,DE,300 - 350,0.4,n/a,n/a
luzna,Lužná,CZ,474 - 655,0,n/a,n/a
bachledova-deny,Bachledova DENY,SK,820 - 960,1.9,n/a,n/a
porac-park,Poráč Park,SK,595 - 780,2.6,n/a,n/a
brilon-poppenberg,Brilon - am Poppenberg,DE,480 - 600,0.6,n/a,n/a
osovje,Osovje,SI,735 - 820,0,n/a,n/a
ebingen,Albstadt / Ebingen,DE,763 - 923,2.1,"20,00",€
postwiese-neuastenberg,Postwiese - Neuastenberg,DE,610 - 730,9,"40,00",€
eschenfelden-hirschbach,Eschenfelden - Hirschbach,DE,450 - 491,0.3,n/a,n/a
strban,Štrbáň,CZ,447 - 535,0.6,n/a,n/a
kamianna,Kamianna,PL,570 - 660,2,n/a,n/a
cerna-ricka,Černá Říčka,CZ,685 - 788,2.4,n/a,n/a
skomielna-czarna,Skomielna Czarna Ski,PL,490 - 575,0.8,n/a,n/a
haut-du-tot,Haut du Tôt,FR,865 - 865,0.4,"5,00",€
ziar-dolinky,Žiar - Dolinky,SK,810 - 902,0.9,n/a,n/a
brombergalm,Bromberg Alm,DE,820 - 920,1.7,n/a,n/a
murzasichle,Murzasichle,PL,840 - 894,1,n/a,n/a
schamhaupten,Schamhaupten - Altmannstein,DE,413 - 475,0,n/a,n/a
lubinka,Lubinka / Janowice,PL,290 - 404,0,n/a,n/a
dicki-weisslingen,Dicki - Weisslingen,CH,590 - 620,0.2,n/a,n/a
battenhausen,Battenhausen / Hohes Lohr,DE,510 - 590,0,n/a,n/a
janova-hora,Janova Hora,CZ,625 - 820,0.9,n/a,n/a
u-sachovy-studanky,U Sachovy studánky,CZ,630 - 740,1.7,n/a,n/a
przywidz,Przywidz,PL,210 - 255,0.6,n/a,n/a
heigenbruecken,Heigenbrücken / Winterloch,DE,320 - 455,0.8,n/a,n/a
zieleniec,Zieleniec,PL,800 - 960,12.1,n/a,n/a
logarska-dolina,Logarska dolina,SI,740 - 800,0,n/a,n/a
krzyzowa-gora,Krzyżowa Góra / Lidzbark Warmiński,PL,75 - 127,0,n/a,n/a
skiclub-falkenau,Skiclub Falkenau,DE,325 - 375,0.4,n/a,n/a
sitzberg,Sitzberg,CH,770 - 800,0.2,n/a,n/a
salamandra,Salamandra,SK,579 - 850,1.4,"45,00",€
cenkovice,Čenkovice,CZ,750 - 958,4.5,n/a,n/a
solan-bzove,Soláň - Bzové,CZ,640 - 720,1.6,n/a,n/a
encijan,Encijan,SI,620 - 685,0,n/a,n/a
oetzlifte-kochel,Ötzlifte Kochel - Rabenkopf,DE,650 - 860,1.6,"25,00",€
skalanka,Skalanka / Zwardón,PL,648 - 825,0.5,n/a,n/a
vankuv-kopec,Vaňkův kopec,CZ,324 - 400,1.9,n/a,n/a
vernar-studnicky,Vernár-Studničky,SK,800 - 960,1.3,n/a,n/a
herzogsreut-hinterschmiding,Herzogsreut - Hinterschmiding,DE,790 - 855,1,"10,00",€
grosser-feldberg-oberreifenberg,Großer Feldberg / Oberreifenberg,DE,880 - 660,0.4,"16,00",€
heipark-tosovice,Heipark Tošovice,CZ,384 - 463,1.4,n/a,n/a
weidekamp-burbach,Weidekamp / Burbach,DE,420 - 520,0,"14,00",€
limanowa-ski,Limanowa Ski,PL,612 - 780,2,n/a,n/a
oberwaldlift-faistenau,Oberwaldlift Faistenau,AT,814 - 970,1.2,"14,00",€
snowpark-lucivna,Snowpark Lučivná,SK,746 - 856,1.2,n/a,n/a
falkenstein,Falkenstein,DE,580 - 650,0.4,n/a,n/a
simmersfeld,Simmersfeld,DE,750 - 830,3.2,n/a,n/a
winterberg,Skiliftkarussell Winterberg,DE,639 - 810,27.5,"49,00",€
la-combe-saint-pierre,La Combe Saint-Pierre,FR,870 - 990,2.7,"14,00",€
schoeder,Koarfeldlift / Schöder,AT,892 - 955,0.3,"17,00",€
ostra-gora,Ostra Góra,PL,300 - 400,0,n/a,n/a
brnenka,Brněnka,CZ,506 - 610,2.9,n/a,n/a
skilift-griminitzen,Griminitzen,AT,630 - 800,1,"14,00",€
bergwiesenlift-schwarzenbach,Bergwiesenlift / Schwarzenbach am Wald,DE,600 - 680,1,n/a,n/a
monte-kienader,Monte Kienader / Bergkirchen,DE,501 - 535,1,n/a,n/a
gschwend,Gschwend,DE,490 - 560,1,n/a,n/a
rusin-ski,Rusin ski,PL,807 - 933,0,n/a,n/a
giller-hilchenbach-luetzel,Giller / Hilchenbach-Lützel,DE,560 - 650,0.5,n/a,n/a
brtnice,Brtnice,CZ,560 - 620,0.4,n/a,n/a
pungrat,Pungrat,SI,415 - 430,0,n/a,n/a
marianky,Mariánky,CZ,650 - 758,1.6,n/a,n/a
sacberk,Šacberk / Zborná,CZ,516 - 613,0.4,n/a,n/a
heidenheim-schnaitheim-albuch,Heidenheim / Schnaitheim / Albuch,DE,540 - 590,1,"12,00",€
slotwiny-arena,Słotwiny Arena,PL,676 - 864,7.7,n/a,n/a
stacja-narciarska-myslenice,Stacja Narciarska Myślenice,PL,373 - 608,0,n/a,n/a
alberschwende,Alberschwende,AT,720 - 900,0,"26,00",€
malenovice,Malenovice,CZ,520 - 712,2.6,n/a,n/a
ustron-palenica,Stacja Narciarska Ustroń Palenica,PL,434 - 668,1.5,n/a,n/a
jedlova,Jedlová,CZ,536 - 776,2.6,n/a,n/a
maria-schmolln,Maria Schmolln,AT,500 - 540,0.2,"5,00",€
relax-center-plejsy,Relax Center Plejsy / Krompachy,SK,470 - 912,5.1,n/a,n/a
synot-kycerka,Synot Kyčerka,CZ,545 - 705,2.5,n/a,n/a
podjavornik,Podjavorník,SK,700 - 900,2,n/a,n/a
bukovnik,Bukovnik,SI,500 - 625,0.4,n/a,n/a
rugiswalde,Rugiswalde,DE,430 - 510,0.5,n/a,n/a
altglashuette,Altglashütte / Bärnau,DE,750 - 900,2,n/a,n/a
kiczera-ski,Kiczera-ski,PL,475 - 635,1.6,n/a,n/a
isny-felderhalde,Isny - Felderhalde / Max Wild Arena,DE,720 - 790,2.2,"23,00",€
ski-areal-hlubocky,Ski areál Hlubočky,CZ,300 - 380,1.3,n/a,n/a
skihal-aspen,SnowWorld Antwerpen,BE,16 - 64,0.3,"53,50",€
gora-kamiensk,Góra Kamieńsk,PL,213 - 336,2.2,n/a,n/a
hohe-acht-jammelshofen,Hohe Acht - Jammelshofen / Kaltenborn,DE,510 - 580,1.2,n/a,n/a
stupava,Stupava,CZ,340 - 450,1.2,n/a,n/a
koninki,Koninki,PL,655 - 964,2.4,n/a,n/a
kaltenbronn,Kaltenbronn,DE,858 - 958,0.6,"28,00",€
kozji-hrbet-2864-bohinj,Kozji hrbet / 2864 Bohinj,SI,555 - 633,0.5,n/a,n/a
kadernberg-schoenberg,Kadernberg – Schönberg,DE,610 - 690,0.5,n/a,n/a
eichholzkopf-dietzhoelztal,Eichholzkopf / Dietzhölztal,DE,552 - 608,0.4,n/a,n/a
glueck-auf-langewiese,Glück auf / Langewiese,DE,670 - 740,0,n/a,n/a
bystre,Bystre,PL,480 - 712,0,n/a,n/a
ostalb-skilifte-aalen,Ostalb-Skilifte / Aalen,DE,530 - 680,2.2,n/a,n/a
ski-snb-areal-surfanic,Ski &amp; Snb Areal Surfanic,CZ,520 - 650,1.6,n/a,n/a
ziarce-pavcina-lehota,ŽIARCE Pavčina Lehota,SK,750 - 907,3.1,"14,00",€
kreuzberg-bischofsheim,Kreuzberg - Bischofsheim,DE,610 - 918,13,n/a,n/a
ski-chem,Lopušná Dolina - Svit,SK,777 - 916,1.9,n/a,n/a
polevsko,Polevsko,CZ,520 - 605,0,n/a,n/a
geyersdorf,Geyersdorf,DE,660 - 760,0.5,n/a,n/a
potstat,Potštát,CZ,485 - 565,1.7,"500,00",CZK
zvicina,Zvičina,CZ,490 - 645,2.2,n/a,n/a
gedersberg,Gedersberg,AT,378 - 403,0.3,n/a,n/a
palenica,Palenica,PL,456 - 722,3.7,n/a,n/a
ski-armada-dolni-lomna,Ski Armáda Dolní Lomná,CZ,500 - 660,1.9,"660,00",CZK
javorovy-vrch,Javorový Vrch,CZ,424 - 968,1.5,n/a,n/a
gutachhalde-kappel,Gutachhalde - Lenzkirch - Kappel,DE,900 - 935,0.3,n/a,n/a
ski-mazury,Ski Mazury / Okrągłe,PL,150 - 214,1.4,n/a,n/a
poniwiec,Poniwiec,PL,600 - 814,0,n/a,n/a
birgitz,Birgitz,AT,875 - 940,1,n/a,n/a
ulovka,Ulovka - Jamnik,SI,640 - 801,1.7,n/a,n/a
klinek-predklasteri,Klínek Předklášteří,CZ,299 - 396,1.7,n/a,n/a
stary-gron,Stary Groń,PL,420 - 560,1,n/a,n/a
baraque-de-fraiture,Baraque de Fraiture,BE,520 - 644,2,"14,00",€
schiwiese-scheiterberg,Scheiterberg / Mannersdorf,AT,275 - 350,0,n/a,n/a
cypisek,Cypisek,PL,640 - 700,0,n/a,n/a
roehrenmoos-dietikon,Röhrenmoos / Dietikon,CH,460 - 490,0.3,n/a,n/a
unislaw,Unisław,PL,33 - 63,0.9,n/a,n/a
brennberglift-etzelwang,Brennberglift - Etzelwang,DE,427 - 567,1.1,n/a,n/a
paczoltowice,Paczółtowice,PL,388 - 446,1.1,n/a,n/a
polczakowka,Polczakówka,PL,465 - 568,0.7,n/a,n/a
rhein-weser-lift-oberhundem,Rhein-Weser-Lift / Oberhundem,DE,590 - 624,2,n/a,n/a
kliny,Klíny - Rašov,CZ,580 - 720,2.8,n/a,n/a
jahodna,Jahodná,SK,585 - 705,1.4,n/a,n/a
burladingen,Burladingen,DE,740 - 905,3.6,n/a,n/a
ostra,Ostrá,CZ,650 - 743,1.1,n/a,n/a
ski-malachov-medvedica,SKI Malachov Medvedica,SK,538 - 727,1.3,n/a,n/a
slotwiny,Słotwiny,PL,691 - 891,1.5,n/a,n/a
trnava-luhy,Trnava-Luhy,CZ,430 - 505,1,n/a,n/a
kozara,Kozara,BA,680 - 800,1,"23,00",BAM
kralova-pri-zvolene,Kráľová pri Zvolene,SK,650 - 800,2,n/a,n/a
ochodzitaski,OchodzitaSki,PL,738 - 870,0,n/a,n/a
zwoelfmorgental-wernigerode,Zwölfmorgental Wernigerode,DE,380 - 465,0,n/a,n/a
bocksberg-hahnenklee,Bocksberg-Hahnenklee,DE,560 - 727,1.7,"28,90",€
blockhaus-belmicke,Blockhaus - Belmicke,DE,436 - 465,0.3,"10,00",€
ski-zbojska,Ski Zbojská,SK,800 - 900,0.6,n/a,n/a
